npi,nppes_provider_last_org_name,nppes_provider_first_name,nppes_provider_city,nppes_provider_state,specialty_description,description_flag,drug_name,generic_name,bene_count,total_claim_count,total_30_day_fill_count,total_day_supply,total_drug_cost,bene_count_ge65,bene_count_ge65_suppress_flag,total_claim_count_ge65,ge65_suppress_flag,total_30_day_fill_count_ge65,total_day_supply_ge65,total_drug_cost_ge65,years_of_exp
2006000252,ENKESHAFI,ARDALAN,CUMBERLAND,MD,Internal Medicine,S,XARELTO,RIVAROXABAN,12,34,34.0,943,12110.2,"",#,"",#,"","","",= 52.0
"",KHALIL,RASHID,TOLEDO,OH,Anesthesiology,S,ACETAMINOPHEN-CODEINE,ACETAMINOPHEN WITH CODEINE,17,51,51.0,1398,577.96,"",#,37,"",37.0,978,437.25,= 42.0
"",KHALIL,RASHID,TOLEDO,OH,Anesthesiology,S,AMITRIPTYLINE HCL,AMITRIPTYLINE HCL,"",29,29.0,870,254.2,0,"",0,"",0.0,0,0.0,= 41.0
"",KHALIL,RASHID,TOLEDO,OH,Anesthesiology,S,BACLOFEN,BACLOFEN,43,104,112.0,3194,2106.97,17,"",31,"",31.0,890,484.56,= 40.0
"",KHALIL,RASHID,TOLEDO,OH,Anesthesiology,S,BUTRANS,BUPRENORPHINE,19,63,63.0,1764,24514.23,"",#,41,"",41.0,1150,16188.72,= 33.0
"",KHALIL,RASHID,TOLEDO,OH,Anesthesiology,S,CYCLOBENZAPRINE HCL,CYCLOBENZAPRINE HCL,"",11,11.0,300,31.88,"",*,"",*,"","","",= 31.0
"",KHALIL,RASHID,TOLEDO,OH,Anesthesiology,S,DICLOFENAC SODIUM,DICLOFENAC SODIUM,13,15,19.0,541,1859.76,"",#,"",#,"","","",= 49.0
"",KHALIL,RASHID,TOLEDO,OH,Anesthesiology,S,DULOXETINE HCL,DULOXETINE HCL,"",33,33.0,990,1049.22,"",*,12,"",12.0,360,342.51,= 49.0
"",KHALIL,RASHID,TOLEDO,OH,Anesthesiology,S,FENTANYL,FENTANYL,14,77,77.2,2274,6920.58,"",*,11,"",11.1,332,809.67,= 40.0
"",KHALIL,RASHID,TOLEDO,OH,Anesthesiology,S,GABAPENTIN,GABAPENTIN,69,264,290.3,8585,3796.94,32,"",112,"",124.3,3690,1352.54,= 54.0
"",KHALIL,RASHID,TOLEDO,OH,Anesthesiology,S,HYDROCODONE-ACETAMINOPHEN,HYDROCODONE/ACETAMINOPHEN,62,358,359.5,10092,8378.69,35,"",204,"",204.5,5559,5270.87,= 42.0
"",KHALIL,RASHID,TOLEDO,OH,Anesthesiology,S,LIDOCAINE-PRILOCAINE,LIDOCAINE/PRILOCAINE,"",11,11.0,330,1711.19,"",*,"",*,"","","",= 36.0
"",KHALIL,RASHID,TOLEDO,OH,Anesthesiology,S,LYRICA,PREGABALIN,23,106,106.0,3089,49748.43,"",#,40,"",40.0,1141,16482.44,= 31.0
"",KHALIL,RASHID,TOLEDO,OH,Anesthesiology,S,MELOXICAM,MELOXICAM,"",12,12.0,340,42.01,0,"",0,"",0.0,0,0.0,= 40.0
"",KHALIL,RASHID,TOLEDO,OH,Anesthesiology,S,MORPHINE SULFATE ER,MORPHINE SULFATE,"",26,26.0,765,742.9,"",*,"",*,"","","",= 41.0
"",KHALIL,RASHID,TOLEDO,OH,Anesthesiology,S,OXYCODONE HCL,OXYCODONE HCL,"",11,11.0,315,157.86,"",*,11,"",11.0,315,157.86,= 52.0
"",KHALIL,RASHID,TOLEDO,OH,Anesthesiology,S,OXYCODONE-ACETAMINOPHEN,OXYCODONE HCL/ACETAMINOPHEN,37,241,245.0,7202,5040.36,17,"",118,"",119.0,3515,2492.86,= 40.0
"",KHALIL,RASHID,TOLEDO,OH,Anesthesiology,S,OXYCONTIN,OXYCODONE HCL,"",25,25.0,706,6249.48,"",#,"",#,"","","",= 31.0
"",KHALIL,RASHID,TOLEDO,OH,Anesthesiology,S,TIZANIDINE HCL,TIZANIDINE HCL,11,30,36.0,1040,555.31,"",*,"",*,"","","",= 39.0
"",KHALIL,RASHID,TOLEDO,OH,Anesthesiology,S,TOPIRAMATE,TOPIRAMATE,13,24,25.0,750,148.96,"",*,"",*,"","","",= 32.0
"",KHALIL,RASHID,TOLEDO,OH,Anesthesiology,S,TRAMADOL HCL,TRAMADOL HCL,18,102,102.0,2945,1285.09,"",#,64,"",64.0,1880,1107.2,= 52.0
"",KHALIL,RASHID,TOLEDO,OH,Anesthesiology,S,TRAMADOL HCL-ACETAMINOPHEN,TRAMADOL HCL/ACETAMINOPHEN,"",11,11.0,295,157.98,"",*,"",*,"","","",= 48.0
"",KHALIL,RASHID,TOLEDO,OH,Anesthesiology,S,VOLTAREN,DICLOFENAC SODIUM,12,29,35.8,1025,5535.38,"",*,14,"",15.9,452,3036.62,= 54.0
2006000293,ESCOBAR,JULIO,DAYTON,NV,Dentist,T,AMOXICILLIN,AMOXICILLIN,19,"",21.0,121,71.33,"",#,"",#,"","","",= 43.0
2006000293,ESCOBAR,JULIO,DAYTON,NV,Dentist,T,HYDROCODONE-ACETAMINOPHEN,HYDROCODONE/ACETAMINOPHEN,"",11,11.0,27,63.43,"",*,"",*,"","","",= 40.0
2006000408,BLAKEMORE,ROSIE,NASHVILLE,TN,Nurse Practitioner,S,CALCITRIOL,CALCITRIOL,"",12,12.0,217,129.17,"",*,12,"",12.0,217,129.17,= 32.0
2006000408,BLAKEMORE,ROSIE,NASHVILLE,TN,Nurse Practitioner,S,LEVOTHYROXINE SODIUM,LEVOTHYROXINE SODIUM,"",14,18.0,399,198.87,"",#,"",#,"","","",= 43.0
2006000533,GIRARDI,DAVID,BROOKVILLE,PA,Family Practice,S,ADVAIR DISKUS,FLUTICASONE/SALMETEROL,"",14,14.0,420,5415.66,"",*,14,"",14.0,420,5415.66,= 42.0
2006000533,GIRARDI,DAVID,BROOKVILLE,PA,Family Practice,S,AMLODIPINE BESYLATE,AMLODIPINE BESYLATE,15,34,34.0,922,134.54,15,"",34,"",34.0,922,134.54,= 30.0
2006000533,GIRARDI,DAVID,BROOKVILLE,PA,Family Practice,S,ATENOLOL,ATENOLOL,"",18,18.0,540,91.64,"",*,18,"",18.0,540,91.64,= 52.0
2006000533,GIRARDI,DAVID,BROOKVILLE,PA,Family Practice,S,ATORVASTATIN CALCIUM,ATORVASTATIN CALCIUM,11,57,57.0,1497,500.82,11,"",57,"",57.0,1497,500.82,= 45.0
2006000533,GIRARDI,DAVID,BROOKVILLE,PA,Family Practice,S,AZITHROMYCIN,AZITHROMYCIN,29,30,30.0,172,313.56,"",#,"",#,"","","",= 52.0
2006000533,GIRARDI,DAVID,BROOKVILLE,PA,Family Practice,S,BENAZEPRIL HCL,BENAZEPRIL HCL,"",27,27.0,803,122.2,"",*,27,"",27.0,803,122.2,= 38.0
2006000533,GIRARDI,DAVID,BROOKVILLE,PA,Family Practice,S,CARVEDILOL,CARVEDILOL,"",15,15.0,327,57.12,"",#,"",#,"","","",= 45.0
2006000533,GIRARDI,DAVID,BROOKVILLE,PA,Family Practice,S,CEPHALEXIN,CEPHALEXIN,15,16,16.0,96,56.6,"",#,"",#,"","","",= 33.0
2006000533,GIRARDI,DAVID,BROOKVILLE,PA,Family Practice,S,CIPROFLOXACIN HCL,CIPROFLOXACIN HCL,13,16,16.0,88,86.62,"",#,"",#,"","","",= 52.0
2006000533,GIRARDI,DAVID,BROOKVILLE,PA,Family Practice,S,CITALOPRAM HBR,CITALOPRAM HYDROBROMIDE,"",12,12.0,350,63.2,"",*,12,"",12.0,350,63.2,= 38.0
2006000533,GIRARDI,DAVID,BROOKVILLE,PA,Family Practice,S,CLONIDINE HCL,CLONIDINE HCL,"",24,24.0,662,172.4,"",*,24,"",24.0,662,172.4,= 45.0
2006000533,GIRARDI,DAVID,BROOKVILLE,PA,Family Practice,S,CLOPIDOGREL,CLOPIDOGREL BISULFATE,12,45,45.0,1251,386.66,12,"",45,"",45.0,1251,386.66,= 48.0
2006000533,GIRARDI,DAVID,BROOKVILLE,PA,Family Practice,S,DEXILANT,DEXLANSOPRAZOLE,"",16,16.0,133,1120.72,"",*,16,"",16.0,133,1120.72,= 40.0
2006000533,GIRARDI,DAVID,BROOKVILLE,PA,Family Practice,S,DIGOXIN,DIGOXIN,"",22,22.0,151,173.3,"",*,22,"",22.0,151,173.3,= 43.0
2006000533,GIRARDI,DAVID,BROOKVILLE,PA,Family Practice,S,DONEPEZIL HCL,DONEPEZIL HCL,"",51,51.0,1364,500.4,"",*,51,"",51.0,1364,500.4,= 45.0
2006000533,GIRARDI,DAVID,BROOKVILLE,PA,Family Practice,S,ELIQUIS,APIXABAN,11,14,14.1,421,5079.98,"",#,"",#,"","","",= 34.0
2006000533,GIRARDI,DAVID,BROOKVILLE,PA,Family Practice,S,EXELON,RIVASTIGMINE,"",11,11.0,330,5915.44,"",*,11,"",11.0,330,5915.44,= 32.0
2006000533,GIRARDI,DAVID,BROOKVILLE,PA,Family Practice,S,FELODIPINE ER,FELODIPINE,"",13,13.0,345,244.88,"",*,13,"",13.0,345,244.88,= 52.0
2006000533,GIRARDI,DAVID,BROOKVILLE,PA,Family Practice,S,FOSINOPRIL SODIUM,FOSINOPRIL SODIUM,"",12,12.0,360,105.6,"",*,12,"",12.0,360,105.6,= 44.0
2006000533,GIRARDI,DAVID,BROOKVILLE,PA,Family Practice,S,FUROSEMIDE,FUROSEMIDE,21,85,85.0,2213,395.27,21,"",85,"",85.0,2213,395.27,= 51.0
2006000533,GIRARDI,DAVID,BROOKVILLE,PA,Family Practice,S,GABAPENTIN,GABAPENTIN,"",51,51.0,1376,611.13,"",*,51,"",51.0,1376,611.13,= 45.0
2006000533,GIRARDI,DAVID,BROOKVILLE,PA,Family Practice,S,GLIPIZIDE,GLIPIZIDE,"",12,12.0,313,119.75,"",*,12,"",12.0,313,119.75,= 52.0
2006000533,GIRARDI,DAVID,BROOKVILLE,PA,Family Practice,S,HUMALOG,INSULIN LISPRO,"",42,42.0,1101,10649.47,"",*,42,"",42.0,1101,10649.47,= 55.0
2006000533,GIRARDI,DAVID,BROOKVILLE,PA,Family Practice,S,HYDROCHLOROTHIAZIDE,HYDROCHLOROTHIAZIDE,"",12,12.0,307,51.08,"",*,12,"",12.0,307,51.08,= 47.0
2006000533,GIRARDI,DAVID,BROOKVILLE,PA,Family Practice,S,ISOSORBIDE MONONITRATE ER,ISOSORBIDE MONONITRATE,11,36,36.0,841,371.39,11,"",36,"",36.0,841,371.39,= 49.0
2006000533,GIRARDI,DAVID,BROOKVILLE,PA,Family Practice,S,JANTOVEN,WARFARIN SODIUM,"",21,21.0,146,88.63,"",*,21,"",21.0,146,88.63,= 50.0
2006000533,GIRARDI,DAVID,BROOKVILLE,PA,Family Practice,S,JANUVIA,SITAGLIPTIN PHOSPHATE,"",11,11.0,309,4219.57,"",*,11,"",11.0,309,4219.57,= 31.0
2006000533,GIRARDI,DAVID,BROOKVILLE,PA,Family Practice,S,LANTUS,"INSULIN GLARGINE,HUM.REC.ANLOG","",33,33.0,923,8079.03,"",#,"",#,"","","",= 33.0
2006000533,GIRARDI,DAVID,BROOKVILLE,PA,Family Practice,S,LEVEMIR FLEXTOUCH,INSULIN DETEMIR,"",12,12.0,244,3063.0,"",*,12,"",12.0,244,3063.0,= 42.0
2006000533,GIRARDI,DAVID,BROOKVILLE,PA,Family Practice,S,LEVOFLOXACIN,LEVOFLOXACIN,35,36,36.0,209,209.92,"",#,"",#,"","","",= 48.0
2006000533,GIRARDI,DAVID,BROOKVILLE,PA,Family Practice,S,LEVOTHYROXINE SODIUM,LEVOTHYROXINE SODIUM,18,155,155.0,2129,1334.46,"",#,"",#,"","","",= 32.0
2006000533,GIRARDI,DAVID,BROOKVILLE,PA,Family Practice,S,LISINOPRIL,LISINOPRIL,"",48,48.0,1207,270.31,"",*,48,"",48.0,1207,270.31,= 42.0
2006000533,GIRARDI,DAVID,BROOKVILLE,PA,Family Practice,S,LORAZEPAM,LORAZEPAM,"",49,49.0,981,283.08,"",*,49,"",49.0,981,283.08,= 38.0
2006000533,GIRARDI,DAVID,BROOKVILLE,PA,Family Practice,S,LYRICA,PREGABALIN,"",17,17.0,510,4491.75,"",#,"",#,"","","",= 33.0
2006000533,GIRARDI,DAVID,BROOKVILLE,PA,Family Practice,S,METFORMIN HCL,METFORMIN HCL,"",27,27.0,793,178.52,"",#,"",#,"","","",= 45.0
2006000533,GIRARDI,DAVID,BROOKVILLE,PA,Family Practice,S,METOPROLOL TARTRATE,METOPROLOL TARTRATE,17,48,49.0,1239,271.69,"",#,"",#,"","","",= 41.0
2006000533,GIRARDI,DAVID,BROOKVILLE,PA,Family Practice,S,MONTELUKAST SODIUM,MONTELUKAST SODIUM,"",17,17.0,426,195.26,"",*,17,"",17.0,426,195.26,= 37.0
2006000533,GIRARDI,DAVID,BROOKVILLE,PA,Family Practice,S,NAMENDA XR,MEMANTINE HCL,"",122,122.0,1210,15281.17,"",*,122,"",122.0,1210,15281.17,= 42.0
2006000533,GIRARDI,DAVID,BROOKVILLE,PA,Family Practice,S,OLANZAPINE,OLANZAPINE,"",16,16.0,407,162.69,"",*,16,"",16.0,407,162.69,= 54.0
2006000533,GIRARDI,DAVID,BROOKVILLE,PA,Family Practice,S,OMEPRAZOLE,OMEPRAZOLE,"",16,16.0,465,150.22,"",*,16,"",16.0,465,150.22,= 48.0
2006000533,GIRARDI,DAVID,BROOKVILLE,PA,Family Practice,S,PANTOPRAZOLE SODIUM,PANTOPRAZOLE SODIUM,13,30,30.0,848,261.52,"",#,"",#,"","","",= 41.0
2006000533,GIRARDI,DAVID,BROOKVILLE,PA,Family Practice,S,PENTOXIFYLLINE,PENTOXIFYLLINE,"",14,14.0,393,240.73,"",*,14,"",14.0,393,240.73,= 31.0
2006000533,GIRARDI,DAVID,BROOKVILLE,PA,Family Practice,S,PERMETHRIN,PERMETHRIN,14,24,24.0,38,2486.85,14,"",24,"",24.0,38,2486.85,= 51.0
2006000533,GIRARDI,DAVID,BROOKVILLE,PA,Family Practice,S,POLYETHYLENE GLYCOL 3350,POLYETHYLENE GLYCOL 3350,11,48,48.0,945,783.73,11,"",48,"",48.0,945,783.73,= 36.0
2006000533,GIRARDI,DAVID,BROOKVILLE,PA,Family Practice,S,POTASSIUM CHLORIDE,POTASSIUM CHLORIDE,13,66,66.0,1741,1235.97,"",#,"",#,"","","",= 37.0
2006000533,GIRARDI,DAVID,BROOKVILLE,PA,Family Practice,S,PRAMIPEXOLE DIHYDROCHLORIDE,PRAMIPEXOLE DI-HCL,"",11,11.0,323,183.75,"",*,11,"",11.0,323,183.75,= 42.0
2006000533,GIRARDI,DAVID,BROOKVILLE,PA,Family Practice,S,PREDNISONE,PREDNISONE,53,60,60.0,622,268.25,"",#,"",#,"","","",= 40.0
2006000533,GIRARDI,DAVID,BROOKVILLE,PA,Family Practice,S,RISPERIDONE,RISPERIDONE,"",35,35.0,909,252.17,"",*,35,"",35.0,909,252.17,= 47.0
2006000533,GIRARDI,DAVID,BROOKVILLE,PA,Family Practice,S,SERTRALINE HCL,SERTRALINE HCL,"",41,41.1,952,437.72,"",*,41,"",41.1,952,437.72,= 54.0
2006000533,GIRARDI,DAVID,BROOKVILLE,PA,Family Practice,S,SIMVASTATIN,SIMVASTATIN,"",14,14.0,382,132.67,"",*,14,"",14.0,382,132.67,= 48.0
2006000533,GIRARDI,DAVID,BROOKVILLE,PA,Family Practice,S,TRADJENTA,LINAGLIPTIN,"",13,13.0,390,4878.9,"",*,13,"",13.0,390,4878.9,= 45.0
2006000533,GIRARDI,DAVID,BROOKVILLE,PA,Family Practice,S,TRAZODONE HCL,TRAZODONE HCL,"",21,21.0,462,181.23,"",*,21,"",21.0,462,181.23,= 44.0
2006000533,GIRARDI,DAVID,BROOKVILLE,PA,Family Practice,S,TRIAMCINOLONE ACETONIDE,TRIAMCINOLONE ACETONIDE,"",19,19.0,61,247.85,"",*,19,"",19.0,61,247.85,= 40.0
2006000533,GIRARDI,DAVID,BROOKVILLE,PA,Family Practice,S,XARELTO,RIVAROXABAN,"",32,32.0,283,3811.0,"",*,32,"",32.0,283,3811.0,= 45.0
2006000549,VELOTTA,JENNIFER,CLEVELAND,OH,Obstetrics & Gynecology,S,CLOBETASOL PROPIONATE,CLOBETASOL PROPIONATE,"",12,12.0,262,832.04,"",*,12,"",12.0,262,832.04,= 40.0
2006000549,VELOTTA,JENNIFER,CLEVELAND,OH,Obstetrics & Gynecology,S,IBUPROFEN,IBUPROFEN,"",12,12.0,88,61.1,"",*,"",*,"","","",= 49.0
2006000549,VELOTTA,JENNIFER,CLEVELAND,OH,Obstetrics & Gynecology,S,MICROGESTIN FE,NORETHINDRONE-E.ESTRADIOL-IRON,"",16,16.0,448,295.85,0,"",0,"",0.0,0,0.0,= 53.0
-1975016072,GOLDSTEIN,MARK,NEW YORK,NY,Emergency Medicine,S,KETOCONAZOLE,KETOCONAZOLE,"",18,18.0,359,176.81,"",*,"",*,"","","",= 46.0
2006000549,VELOTTA,JENNIFER,CLEVELAND,OH,Obstetrics & Gynecology,S,PREMPRO,"ESTROGEN,CON/M-PROGEST ACET","","",12.0,336,1915.24,"",*,"",*,"","","",= 44.0
2006000606,ROTHCHILD,KEVIN,AURORA,CO,General Surgery,S,CARAFATE,SUCRALFATE,"",17,17.0,235,3286.74,"",*,"",*,"","","",= 42.0
2086959747,MENDYKOWSKI,ALICE,KAILUA,HI,Nurse Practitioner,S,TRAMADOL HCL,TRAMADOL HCL,"",23,24.0,652,278.63,"",#,"",#,"","","",= 37.0
-1743755271,BARSEGYAN,ARSINE,GLENDALE,CA,Internal Medicine,S,MECLIZINE HCL,MECLIZINE HCL,70,519,521.0,15630,3837.86,"",#,465,"",467.0,14010,3531.4,= 38.0
-2137634793,BARNUM,MICHAEL,SAINT ALBANS,VT,Orthopedic Surgery,S,GABAPENTIN,GABAPENTIN,11,35,43.0,1288,235.7,"",*,18,"",18.0,538,98.96,= 38.0
-1490114270,ADAMS,JOHN,LONG BEACH,CA,Internal Medicine,S,QUETIAPINE FUMARATE,QUETIAPINE FUMARATE,19,80,91.0,2614,2069.18,"",#,55,"",59.7,1708,1050.52,= 40.0
2117979698,GONZALEZ,JOSE,EL PASO,TX,Family Practice,S,LOSARTAN POTASSIUM,LOSARTAN POTASSIUM,"",16,28.0,840,82.73,"",#,"",#,"","","",= 32.0
-1783003014,CONSIDINE,GRETCHEN,SAUK CITY,WI,Physician Assistant,S,AMLODIPINE BESYLATE,AMLODIPINE BESYLATE,22,89,239.0,7170,611.59,"",#,"",#,"","","",= 49.0
2117304634,ROJAS,FIOR,ALTAMONTE SPRINGS,FL,Family Practice,S,CEPHALEXIN,CEPHALEXIN,"",11,11.0,99,57.11,"",*,"",*,"","","",= 51.0
2066458712,WADE,TRACY,HEFLIN,AL,Nurse Practitioner,S,GLYBURIDE,GLYBURIDE,11,40,71.7,2122,885.52,"",*,"",*,"","","",= 34.0
-1662959550,STEPHENS,LEONA,JEFFERSONVILLE,IN,Family Practice,S,FUROSEMIDE,FUROSEMIDE,18,64,93.5,2745,376.74,"",*,17,"",38.5,1095,126.63,= 40.0
-1389035056,BROWN,RICHARD,HAMILTON,OH,Psychiatry & Neurology,T,FLUOXETINE HCL,FLUOXETINE HCL,"",74,76.5,2076,811.03,"",*,12,"",12.2,366,114.31,= 51.0
-1935635169,FOSSO,CAROL,INDIANAPOLIS,IN,Allergy/ Immunology,S,AMOXICILLIN-CLAVULANATE POTASS,AMOXICILLIN/POTASSIUM CLAV,29,37,37.0,681,857.5,"",#,"",#,"","","",= 38.0
2117355767,ERWIN,TERRY,MINERAL WELLS,TX,Nurse Practitioner,S,TRIAMCINOLONE ACETONIDE,TRIAMCINOLONE ACETONIDE,"",18,18.0,320,441.0,"",#,"",#,"","","",= 43.0
-1389084538,VOLOW,MICHAEL,RALEIGH,NC,Psychiatry,S,DIVALPROEX SODIUM,DIVALPROEX SODIUM,"",43,43.0,1290,1099.12,"",*,"",*,"","","",= 47.0
-1592244434,MATATOV,VALERIY,BROOKLYN,NY,Internal Medicine,S,PREDNISONE,PREDNISONE,35,80,84.0,1485,391.16,"",#,64,"",68.0,1127,326.27,= 46.0
-1996259427,ANQUE,VICENTA,BRAWLEY,CA,Registered Nurse,T,ALPRAZOLAM,ALPRAZOLAM,"",13,13.0,225,63.99,"",#,"",#,"","","",= 51.0
-1369936297,STEIN,KENNETH,PHILADELPHIA,PA,Podiatry,S,AZITHROMYCIN,AZITHROMYCIN,"",12,12.0,60,92.49,"",*,"",*,"","","",= 39.0
2147383864,DAUGHERTY,PAUL,HENDERSONVILLE,TN,Internal Medicine,S,DOXAZOSIN MESYLATE,DOXAZOSIN MESYLATE,20,86,192.0,5760,2393.61,20,"",86,"",192.0,5760,2393.61,= 38.0
2076548585,SHAFFER,WILLIAM,BLOOMINGTON,MN,Internal Medicine,S,AZITHROMYCIN,AZITHROMYCIN,14,17,17.0,85,100.96,"",#,"",#,"","","",= 42.0
-1592195701,MCFARLAND,ROBERT,COEUR D ALENE,ID,Family Practice,S,METOPROLOL SUCCINATE,METOPROLOL SUCCINATE,21,80,166.5,4995,2993.82,"",#,"",#,"","","",= 50.0
-1571881919,HALL,BRUCE,VISALIA,CA,Internal Medicine,S,ANDROGEL,TESTOSTERONE,"",25,25.0,750,16930.05,"",*,25,"",25.0,750,16930.05,= 33.0
-2016022185,CHARLES,LORRAINE,TYLER,TX,Family Practice,S,PROAIR HFA,ALBUTEROL SULFATE,"",14,16.0,441,861.53,"",#,"",#,"","","",= 52.0
-1622444575,YAGER,SCOTT,EAST BRUNSWICK,NJ,Internal Medicine,S,PRAVASTATIN SODIUM,PRAVASTATIN SODIUM,21,79,203.0,6090,2337.89,"",#,66,"",174.0,5220,2120.24,= 42.0
-2086001557,FOLKS,NEILENE,CRAIG,CO,Physician Assistant,S,ADVAIR DISKUS,FLUTICASONE/SALMETEROL,"",21,29.0,870,9932.91,"",#,"",#,"","","",= 47.0
-1854810403,MORROZOFF,WILLIAM,PARKTON,NC,Nurse Practitioner,S,TEMAZEPAM,TEMAZEPAM,15,23,27.0,810,321.25,"",#,"",#,"","","",= 34.0
-1369848442,ALEJANDRO,ANGEL,MIAMI,FL,Internal Medicine,T,REPAGLINIDE,REPAGLINIDE,"",20,36.0,1080,829.97,"",#,"",#,"","","",= 35.0
2127064864,JORDAN,HARRY,SUMTER,SC,Internal Medicine,S,MEPERIDINE HCL,MEPERIDINE HCL,"",16,16.0,480,529.65,0,"",0,"",0.0,0,0.0,= 44.0
-1975024033,TEODORI,KRISTINE,CROWN POINT,IN,Internal Medicine,S,ALENDRONATE SODIUM,ALENDRONATE SODIUM,22,119,154.8,4402,1210.15,"",#,"",#,"","","",= 48.0
-1905232548,SKUGOR,MARIO,CLEVELAND,OH,Endocrinology,S,METHIMAZOLE,METHIMAZOLE,"",17,29.0,870,210.37,"",#,"",#,"","","",= 32.0
-1905331640,MILACEK,JAMES,PHOENIX,AZ,Registered Nurse,T,LORAZEPAM,LORAZEPAM,"",26,26.0,780,97.52,"",#,"",#,"","","",= 38.0
2006236038,BATHINI,SYDULU,COLUMBUS,OH,Hospitalist,T,FUROSEMIDE,FUROSEMIDE,"",20,26.0,780,63.98,"",#,"",#,"","","",= 50.0
-1299217677,MCCLENDON,EDWARD,HOUSTON,TX,Family Practice,S,GEMFIBROZIL,GEMFIBROZIL,"",11,31.0,930,232.05,"",*,11,"",31.0,930,232.05,= 40.0
2006967210,KELLY,THOMAS,BURR RIDGE,IL,Neurology,S,TECFIDERA,DIMETHYL FUMARATE,"",23,23.0,690,143635.61,0,"",0,"",0.0,0,0.0,= 44.0
-1854699431,SINGH,RAJENDRA,MASON CITY,IA,Emergency Medicine,S,FAMOTIDINE,FAMOTIDINE,11,11,11.0,278,49.03,"",*,"",*,"","","",= 39.0
-2097176109,WARD,MARK,SPARTANBURG,SC,Family Practice,S,BUPROPION XL,BUPROPION HCL,"",28,46.0,1380,967.55,"",*,28,"",46.0,1380,967.55,= 38.0
-1490069687,CHODOSH,THOMAS,CORPUS CHRISTI,TX,Family Practice,S,BETAMETHASONE DIPROPIONATE,BETAMETHASONE/PROPYLENE GLYC,11,17,17.0,277,983.11,"",*,"",*,"","","",= 32.0
-1965904417,COHEN,ALAN,NEW YORK,NY,Infectious Disease,S,AZITHROMYCIN,AZITHROMYCIN,"",15,15.0,163,184.45,"",*,"",*,"","","",= 32.0
